team,enemy,win,home,diff
GSW,DEN,1,0,19.0
WAS,HOU,1,1,18.0
DEN,CHA,1,1,17.0
HOU,SAS,1,1,15.0
HOU,NYK,1,1,15.0
PHI,CHA,1,1,14.0
WAS,CHA,1,1,14.0
GSW,MEM,1,1,13.0
UTA,MIL,1,1,13.0
CHI,IND,1,1,12.0
PHI,IND,1,1,11.0
HOU,UTA,1,0,11.0
LAC,HOU,1,0,10.0
POR,DAL,1,1,9.0
BKN,CHI,1,1,9.0
ORL,MIL,1,1,9.0
GSW,NOP,1,0,8.0
CLE,ATL,1,0,7.0
HOU,LAL,1,1,6.0
CHI,PHI,0,1,-1.0
MIA,SAC,0,0,-4.0
ORL,BKN,0,0,-5.0
DEN,NYK,0,0,-6.0
POR,HOU,0,1,-7.0
NOP,HOU,0,0,-7.0
PHX,CHA,0,0,-7.0
DEN,MIA,0,0,-8.0
MIA,SAS,0,0,-12.0
SAC,SAS,0,0,-15.0
NOP,MIN,1,1,48.0
TOR,MIL,1,1,42.0
CLE,CHA,1,1,39.0
LAC,PHI,1,1,36.0
CLE,DAL,1,0,33.0
UTA,CHA,1,1,28.0
LAC,LAL,1,0,28.0
CLE,MIA,1,1,26.0
GSW,OKC,1,1,26.0
LAC,MIN,1,1,26.0
CLE,BKN,1,1,25.0
LAC,CHA,1,0,21.0
LAC,NYK,1,1,21.0
DAL,NYK,1,0,20.0
DET,PHI,1,1,18.0
GSW,LAC,1,1,17.0
HOU,MIL,1,0,14.0
LAC,OKC,1,0,12.0
LAC,PHX,1,0,11.0
HOU,PHX,1,0,9.0
ATL,GSW,1,1,8.0
CLE,TOR,1,0,8.0
HOU,MIL,1,1,6.0
CLE,POR,1,1,5.0
HOU,SAC,1,0,4.0
LAC,POR,1,0,4.0
HOU,DAL,1,1,3.0
DAL,CHI,1,0,3.0
DEN,DAL,0,1,-1.0
PHI,OKC,0,0,-5.0
BOS,ORL,0,0,-5.0
HOU,LAL,0,1,-6.0
HOU,ATL,0,1,-7.0
CHI,CHA,0,0,-10.0
POR,GSW,0,1,-14.0
ATL,CHA,0,0,-15.0
DAL,CLE,1,1,42.0
MIL,CHA,1,1,41.0
MEM,BKN,1,0,39.0
TOR,CHA,1,1,36.0
BOS,BKN,1,1,34.0
LAC,GSW,1,0,24.0
DAL,ATL,1,1,23.0
ORL,IND,1,0,19.0
DAL,CLE,1,0,20.0
ORL,NJN,1,0,17.0
NYK,ORL,1,0,16.0
SAS,DEN,1,0,15.0
HOU,CHA,1,1,15.0
IND,NJN,1,0,14.0
WAS,GSW,1,0,14.0
UTA,CLE,1,0,13.0
MIN,POR,1,1,12.0
LAC,OKC,1,1,12.0
SAS,ORL,1,1,11.0
HOU,UTA,1,0,10.0
POR,IND,1,1,10.0
GSW,HOU,1,1,9.0
NYK,NJN,1,0,9.0
BKN,LAC,1,0,9.0
GSW,DEN,1,0,8.0
DAL,POR,1,1,8.0
ORL,WAS,1,1,6.0
IND,PHI,1,0,5.0
LAC,ORL,1,0,5.0
MIL,NYK,1,1,5.0
PHX,UTA,1,0,2.0
WAS,MIL,0,0,-1.0
SAC,HOU,1,0,1.0
WAS,HOU,0,1,-1.0
TOR,WAS,0,0,-3.0
HOU,NYK,0,0,-2.0
DAL,POR,0,1,-3.0
GSW,DEN,0,1,-3.0
SAC,TOR,0,0,-4.0
MIA,POR,0,0,-6.0
SAC,MIA,0,0,-12.0
SAS,LAL,0,1,-14.0
ORL,CHA,0,0,-16.0
MEM,MIL,0,1,-13.0
CHI,DEN,0,1,-17.0
ATL,MIA,0,0,-14.0
DAL,LAL,1,1,49.0
